DR_NO,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc
200105762,01/26/2020 12:00:00 AM,1100,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105764,01/26/2020 12:00:00 AM,1815,Central,BATTERY WITH SEXUAL CONTACT
200105765,01/26/2020 12:00:00 AM,930,Central,VEHICLE - STOLEN
200105768,01/26/2020 12:00:00 AM,1430,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105769,01/22/2020 12:00:00 AM,700,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
200105771,01/26/2020 12:00:00 AM,2100,Central,BURGLARY FROM VEHICLE
200105772,01/26/2020 12:00:00 AM,1700,Central,BATTERY - SIMPLE ASSAULT
200508100,04/08/2020 12:00:00 AM,1500,Harbor,BURGLARY FROM VEHICLE
200105774,01/26/2020 12:00:00 AM,2215,Central,BATTERY - SIMPLE ASSAULT
200105776,01/26/2020 12:00:00 AM,1930,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED
200105777,01/26/2020 12:00:00 AM,1930,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED
200105778,01/26/2020 12:00:00 AM,1745,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105779,01/26/2020 12:00:00 AM,1646,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105780,01/27/2020 12:00:00 AM,200,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200105781,01/25/2020 12:00:00 AM,1104,Central,ARSON
212114920,10/15/2020 12:00:00 AM,2000,Topanga,"RAPE, FORCIBLE"
200105784,01/17/2020 12:00:00 AM,1900,Central,BURGLARY FROM VEHICLE
200105785,01/23/2020 12:00:00 AM,1710,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105787,01/24/2020 12:00:00 AM,1150,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105788,01/05/2020 12:00:00 AM,1945,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105789,01/25/2020 12:00:00 AM,2117,Central,BURGLARY FROM VEHICLE
200105790,01/25/2020 12:00:00 AM,2000,Central,BURGLARY FROM VEHICLE
200105791,01/23/2020 12:00:00 AM,1200,Central,BIKE - STOLEN
200105792,01/19/2020 12:00:00 AM,1020,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200105793,01/26/2020 12:00:00 AM,1210,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200105794,01/20/2020 12:00:00 AM,1445,Central,OTHER MISCELLANEOUS CRIME
200105795,01/26/2020 12:00:00 AM,1900,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200105796,01/20/2020 12:00:00 AM,1455,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200105805,01/27/2020 12:00:00 AM,930,Central,TRESPASSING
200105807,01/25/2020 12:00:00 AM,100,Central,INTIMATE PARTNER - SIMPLE ASSAULT
200105808,01/24/2020 12:00:00 AM,1500,Central,BURGLARY FROM VEHICLE
200105809,01/26/2020 12:00:00 AM,1500,Central,VEHICLE - STOLEN
200105812,01/20/2020 12:00:00 AM,1810,Central,"BUNCO, PETTY THEFT"
200105821,01/26/2020 12:00:00 AM,1530,Central,"BUNCO, GRAND THEFT"
200105824,01/26/2020 12:00:00 AM,1800,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105825,01/27/2020 12:00:00 AM,825,Central,VIOLATION OF RESTRAINING ORDER
200105826,01/27/2020 12:00:00 AM,1000,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105829,01/25/2020 12:00:00 AM,2100,Central,VEHICLE - STOLEN
200105830,01/27/2020 12:00:00 AM,1125,Central,INTIMATE PARTNER - AGGRAVATED ASSAULT
200100799,05/22/2020 12:00:00 AM,153,Central,BURGLARY
200105834,01/27/2020 12:00:00 AM,1350,Central,BATTERY - SIMPLE ASSAULT
200517231,11/29/2020 12:00:00 AM,1900,Harbor,BATTERY - SIMPLE ASSAULT
200105837,01/27/2020 12:00:00 AM,1805,Central,BATTERY - SIMPLE ASSAULT
200105838,01/27/2020 12:00:00 AM,600,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200506422,02/24/2020 12:00:00 AM,2200,Harbor,VEHICLE - STOLEN
200600544,01/18/2020 12:00:00 AM,1000,Hollywood,VIOLATION OF COURT ORDER
210211279,01/01/2020 12:00:00 AM,2000,Rampart,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
200105848,01/27/2020 12:00:00 AM,1335,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105850,01/27/2020 12:00:00 AM,850,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200105854,01/26/2020 12:00:00 AM,2140,Central,BATTERY - SIMPLE ASSAULT
200409340,05/27/2020 12:00:00 AM,1230,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200105857,01/26/2020 12:00:00 AM,1817,Central,BATTERY - SIMPLE ASSAULT
200105859,01/27/2020 12:00:00 AM,1945,Central,BURGLARY FROM VEHICLE
200208234,03/25/2020 12:00:00 AM,1900,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200105861,01/25/2020 12:00:00 AM,1200,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED
200105862,01/28/2020 12:00:00 AM,30,Central,ROBBERY
200105863,01/27/2020 12:00:00 AM,2020,Central,"THEFT, PERSON"
200105864,01/27/2020 12:00:00 AM,2355,Central,OTHER ASSAULT
200105865,01/27/2020 12:00:00 AM,1630,Central,"THEFT, PERSON"
200105866,01/27/2020 12:00:00 AM,2130,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
200320956,11/25/2020 12:00:00 AM,800,Southwest,VEHICLE - STOLEN
200105869,01/27/2020 12:00:00 AM,1630,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200105870,01/03/2020 12:00:00 AM,1000,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105871,01/27/2020 12:00:00 AM,415,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200105872,01/27/2020 12:00:00 AM,1830,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200105878,01/27/2020 12:00:00 AM,1600,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105880,01/25/2020 12:00:00 AM,2100,Central,BURGLARY FROM VEHICLE
200105882,01/27/2020 12:00:00 AM,2300,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200105884,01/27/2020 12:00:00 AM,1605,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200105885,01/27/2020 12:00:00 AM,2107,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200404630,01/16/2020 12:00:00 AM,2130,Hollenbeck,BURGLARY FROM VEHICLE
200105891,01/25/2020 12:00:00 AM,1400,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200219185,12/31/2020 12:00:00 AM,1930,Rampart,INTIMATE PARTNER - SIMPLE ASSAULT
200121195,09/01/2020 12:00:00 AM,1200,Central,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
200105903,01/28/2020 12:00:00 AM,900,Central,BATTERY - SIMPLE ASSAULT
200105905,01/28/2020 12:00:00 AM,810,Central,BRANDISH WEAPON
200105906,01/28/2020 12:00:00 AM,1045,Central,TRESPASSING
200105907,01/27/2020 12:00:00 AM,1645,Central,BATTERY - SIMPLE ASSAULT
200105909,01/10/2020 12:00:00 AM,1200,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200105910,01/27/2020 12:00:00 AM,2000,Central,BURGLARY FROM VEHICLE
200105911,01/28/2020 12:00:00 AM,1530,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105912,01/28/2020 12:00:00 AM,2030,Central,BURGLARY FROM VEHICLE
200105913,01/28/2020 12:00:00 AM,1630,Central,BATTERY - SIMPLE ASSAULT
200105914,01/28/2020 12:00:00 AM,1345,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200512066,07/20/2020 12:00:00 AM,750,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200105920,01/28/2020 12:00:00 AM,1320,Central,BATTERY - SIMPLE ASSAULT
200410044,06/21/2020 12:00:00 AM,445,Hollenbeck,OTHER MISCELLANEOUS CRIME
200105922,01/28/2020 12:00:00 AM,1600,Central,BURGLARY FROM VEHICLE
200121726,11/24/2020 12:00:00 AM,1000,Central,DISCHARGE FIREARMS/SHOTS FIRED
200105924,01/28/2020 12:00:00 AM,1020,Central,BURGLARY FROM VEHICLE
200105925,01/28/2020 12:00:00 AM,1800,Central,BURGLARY FROM VEHICLE
200105926,01/28/2020 12:00:00 AM,2210,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED
201614054,10/20/2020 12:00:00 AM,1230,Foothill,"THEFT, PERSON"
200607168,02/29/2020 12:00:00 AM,1915,Hollywood,CRIMINAL THREATS - NO WEAPON DISPLAYED
200105930,01/29/2020 12:00:00 AM,210,Central,ROBBERY
200105931,01/28/2020 12:00:00 AM,10,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200105935,01/28/2020 12:00:00 AM,600,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200105938,01/27/2020 12:00:00 AM,1055,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200105943,01/29/2020 12:00:00 AM,730,Central,INTIMATE PARTNER - AGGRAVATED ASSAULT
200105945,01/28/2020 12:00:00 AM,1725,Central,CONTEMPT OF COURT
200105946,01/29/2020 12:00:00 AM,720,Central,BATTERY - SIMPLE ASSAULT
210817688,12/09/2020 12:00:00 AM,1300,West LA,DOCUMENT FORGERY / STOLEN FELONY
200504494,01/11/2020 12:00:00 AM,1340,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED
201108617,04/07/2020 12:00:00 AM,1420,Northeast,THEFT OF IDENTITY
200105954,01/28/2020 12:00:00 AM,700,Central,VEHICLE - STOLEN
200105960,01/29/2020 12:00:00 AM,1346,Central,VIOLATION OF COURT ORDER
200105962,01/28/2020 12:00:00 AM,1647,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105963,01/17/2020 12:00:00 AM,1200,Central,DOCUMENT FORGERY / STOLEN FELONY
200105968,01/24/2020 12:00:00 AM,2350,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200105971,01/29/2020 12:00:00 AM,1300,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105972,01/29/2020 12:00:00 AM,1215,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200105973,01/29/2020 12:00:00 AM,1215,Central,BATTERY - SIMPLE ASSAULT
200105974,01/29/2020 12:00:00 AM,1100,Central,VEHICLE - STOLEN
200105975,01/20/2020 12:00:00 AM,2330,Central,"BUNCO, GRAND THEFT"
200105976,01/29/2020 12:00:00 AM,1036,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200105977,01/29/2020 12:00:00 AM,925,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200105980,01/29/2020 12:00:00 AM,2040,Central,OTHER MISCELLANEOUS CRIME
200105981,01/28/2020 12:00:00 AM,1500,Central,BURGLARY FROM VEHICLE
200105989,01/29/2020 12:00:00 AM,2130,Central,BATTERY - SIMPLE ASSAULT
200105990,01/26/2020 12:00:00 AM,2330,Central,BURGLARY FROM VEHICLE
200105991,01/30/2020 12:00:00 AM,400,Central,ROBBERY
200105992,01/30/2020 12:00:00 AM,250,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200105993,01/29/2020 12:00:00 AM,2245,Central,VIOLATION OF RESTRAINING ORDER
201008496,04/25/2020 12:00:00 AM,1800,West Valley,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200105997,01/29/2020 12:00:00 AM,1630,Central,VIOLATION OF RESTRAINING ORDER
200105998,01/25/2020 12:00:00 AM,140,Central,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
200105999,01/29/2020 12:00:00 AM,1230,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
201214500,06/11/2020 12:00:00 AM,2000,77th Street,BATTERY - SIMPLE ASSAULT
200106002,01/23/2020 12:00:00 AM,1000,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106003,01/29/2020 12:00:00 AM,1000,Central,BATTERY - SIMPLE ASSAULT
200106004,01/26/2020 12:00:00 AM,1200,Central,BIKE - STOLEN
200106005,01/29/2020 12:00:00 AM,1840,Central,BURGLARY
200106006,01/21/2020 12:00:00 AM,900,Central,BIKE - STOLEN
200106007,01/29/2020 12:00:00 AM,1720,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106008,01/30/2020 12:00:00 AM,330,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
201110606,06/16/2020 12:00:00 AM,2002,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
200106012,01/27/2020 12:00:00 AM,1431,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200106013,01/25/2020 12:00:00 AM,2330,Central,BURGLARY FROM VEHICLE
200106014,01/05/2020 12:00:00 AM,1600,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200106015,01/28/2020 12:00:00 AM,910,Central,BURGLARY FROM VEHICLE
200106016,01/30/2020 12:00:00 AM,200,Central,BURGLARY FROM VEHICLE
200106021,01/30/2020 12:00:00 AM,600,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200106023,01/30/2020 12:00:00 AM,815,Central,INTIMATE PARTNER - SIMPLE ASSAULT
200106024,01/29/2020 12:00:00 AM,2220,Central,BURGLARY FROM VEHICLE
200122993,12/31/2020 12:00:00 AM,1205,Central,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
200106028,01/29/2020 12:00:00 AM,1600,Central,BATTERY - SIMPLE ASSAULT
200106037,01/25/2020 12:00:00 AM,1920,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200106038,01/29/2020 12:00:00 AM,1600,Central,ROBBERY
200106039,01/29/2020 12:00:00 AM,430,Central,BURGLARY
200106040,01/16/2020 12:00:00 AM,1900,Central,ROBBERY
200106041,01/29/2020 12:00:00 AM,1425,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
200106044,01/30/2020 12:00:00 AM,1105,Central,BATTERY - SIMPLE ASSAULT
201007631,03/28/2020 12:00:00 AM,1645,West Valley,BRANDISH WEAPON
200322152,12/23/2020 12:00:00 AM,1145,Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200106049,01/29/2020 12:00:00 AM,2100,Central,BURGLARY FROM VEHICLE
200106050,01/30/2020 12:00:00 AM,1600,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106058,01/30/2020 12:00:00 AM,1314,Central,DOCUMENT FORGERY / STOLEN FELONY
200106061,01/30/2020 12:00:00 AM,1230,Central,THEFT PLAIN - PETTY ($950 & UNDER)
201226353,12/05/2020 12:00:00 AM,1830,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200106063,01/30/2020 12:00:00 AM,1430,Central,BATTERY - SIMPLE ASSAULT
200106071,01/30/2020 12:00:00 AM,1750,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
200106073,01/25/2020 12:00:00 AM,1830,Central,BURGLARY FROM VEHICLE
200106074,01/30/2020 12:00:00 AM,1500,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
200106075,01/15/2020 12:00:00 AM,1900,Central,BURGLARY FROM VEHICLE
200106076,01/30/2020 12:00:00 AM,1720,Central,ARSON
200106077,01/30/2020 12:00:00 AM,840,Central,VEHICLE - STOLEN
200106078,01/29/2020 12:00:00 AM,2115,Central,BURGLARY FROM VEHICLE
200106080,01/30/2020 12:00:00 AM,2044,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
200516455,11/10/2020 12:00:00 AM,1130,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT
200106082,01/30/2020 12:00:00 AM,1730,Central,OTHER ASSAULT
201110326,06/11/2020 12:00:00 AM,2000,Northeast,VEHICLE - STOLEN
200106086,01/30/2020 12:00:00 AM,1800,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200106088,01/30/2020 12:00:00 AM,1820,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200106090,01/30/2020 12:00:00 AM,630,Central,BURGLARY FROM VEHICLE
221209383,02/25/2020 12:00:00 AM,1930,77th Street,THEFT OF IDENTITY
211320345,12/01/2020 12:00:00 AM,1700,Newton,CHILD ANNOYING (17YRS & UNDER)
210715828,08/01/2020 12:00:00 AM,1900,Wilshire,BURGLARY
200106096,01/30/2020 12:00:00 AM,2000,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
200106099,01/28/2020 12:00:00 AM,1725,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200106100,01/28/2020 12:00:00 AM,1725,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200106101,01/28/2020 12:00:00 AM,1725,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200106102,01/28/2020 12:00:00 AM,1725,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200106103,01/27/2020 12:00:00 AM,1600,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106104,01/28/2020 12:00:00 AM,1725,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200106105,01/28/2020 12:00:00 AM,1725,Central,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
200106107,01/30/2020 12:00:00 AM,1350,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106108,01/29/2020 12:00:00 AM,2030,Central,BURGLARY FROM VEHICLE
200106109,01/29/2020 12:00:00 AM,1400,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200106111,01/30/2020 12:00:00 AM,2100,Central,BURGLARY FROM VEHICLE
200809562,05/17/2020 12:00:00 AM,1430,West LA,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
201108104,04/06/2020 12:00:00 AM,1900,Northeast,VEHICLE - STOLEN
200106117,01/31/2020 12:00:00 AM,1000,Central,BATTERY - SIMPLE ASSAULT
200106119,01/31/2020 12:00:00 AM,400,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106121,01/27/2020 12:00:00 AM,1315,Central,OTHER MISCELLANEOUS CRIME
200106124,01/30/2020 12:00:00 AM,2000,Central,BURGLARY FROM VEHICLE
200106125,01/30/2020 12:00:00 AM,2100,Central,THEFT PLAIN - PETTY ($950 & UNDER)
200106127,01/30/2020 12:00:00 AM,1345,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
201226354,12/05/2020 12:00:00 AM,1830,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
200414732,10/01/2020 12:00:00 AM,1700,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT
200815069,10/09/2020 12:00:00 AM,1400,West LA,"BURGLARY, ATTEMPTED"
200612810,07/19/2020 12:00:00 AM,1740,Hollywood,BRANDISH WEAPON
201108147,04/08/2020 12:00:00 AM,745,Northeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
200106142,01/31/2020 12:00:00 AM,1130,Central,BATTERY - SIMPLE ASSAULT
200106143,01/24/2020 12:00:00 AM,1300,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200106146,01/31/2020 12:00:00 AM,1130,Central,BATTERY - SIMPLE ASSAULT
200106147,01/27/2020 12:00:00 AM,1700,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
200106148,01/31/2020 12:00:00 AM,1245,Central,BURGLARY FROM VEHICLE
200106149,01/31/2020 12:00:00 AM,1425,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
200106150,01/31/2020 12:00:00 AM,200,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
